Children,Car,HHIncome,ID,Elderly,City,CityShape,RoadDens,TransSup,LN_INC,Worker,VKMS,LN_VKMS
2,1,831,57,0,1,0.720210017,0.859272982,1.131489929,6.723832441,1,16993.94848,9.740612588
2,1,1039,58,0,1,0.720210017,0.859272982,1.131489929,6.946975992,1,40535.48578,10.60993306
0,2,42,59,0,1,0.720210017,0.859272982,1.131489929,3.761200116,0,6480.33102,8.776526871
1,1,530,60,0,1,0.720210017,0.859272982,1.131489929,6.274762021,1,14653.39755,9.592427502
0,1,623,61,0,1,0.720210017,0.859272982,1.131489929,6.436150368,1,20191.21563,9.913002919
0,1,499,62,1,1,0.720210017,0.859272982,1.131489929,6.214608098,0,18737.00884,9.838255929
0,1,205,63,1,1,0.720210017,0.859272982,1.131489929,5.327876169,0,5031.276708,8.52342905
1,2,571,64,0,1,0.720210017,0.859272982,1.131489929,6.349138991,1,38017.02092,10.54578926
0,1,364,65,0,1,0.720210017,0.859272982,1.131489929,5.899897354,0,14154.20159,9.557766791
1,2,592,66,0,1,0.720210017,0.859272982,1.131489929,6.385194399,1,19575.5531,9.882036776
2,1,800,67,0,1,0.720210017,0.859272982,1.131489929,6.685860947,1,18241.29556,9.811443289
0,2,1076,68,0,1,0.720210017,0.859272982,1.131489929,6.981934677,1,27995.69723,10.23980611
0,2,804,69,0,1,0.720210017,0.859272982,1.131489929,6.690842277,1,18819.96575,9.842673593
0,2,551,70,0,1,0.720210017,0.859272982,1.131489929,6.313548046,1,21666.71303,9.9835324
0,1,779,71,0,1,0.720210017,0.859272982,1.131489929,6.65929392,1,12364.61033,9.422593666
0,1,312,73,0,1,0.720210017,0.859272982,1.131489929,5.746203191,1,18557.19794,9.828613022
3,1,549,74,0,1,0.720210017,0.859272982,1.131489929,6.309918278,1,30749.76581,10.33363766
0,1,394,75,1,1,0.720210017,0.859272982,1.131489929,5.978885765,0,11016.40383,9.307140699
2,1,644,76,0,1,0.720210017,0.859272982,1.131489929,6.469250317,1,8319.00951,9.026298478
0,1,540,77,0,1,0.720210017,0.859272982,1.131489929,6.293419279,1,9200.36671,9.126998622
0,1,421,78,0,1,0.720210017,0.859272982,1.131489929,6.045005314,0,14070.51011,9.551836405
0,2,839,79,0,1,0.720210017,0.859272982,1.131489929,6.733401892,1,19902.81754,9.898616586
0,1,779,81,0,1,0.720210017,0.859272982,1.131489929,6.65929392,1,40732.1686,10.61477344
0,1,442,82,1,1,0.720210017,0.859272982,1.131489929,6.09356977,0,9005.763473,9.105620037
0,1,488,83,0,1,0.720210017,0.859272982,1.131489929,6.192362489,1,7228.867298,8.885837636
0,1,260,84,1,1,0.720210017,0.859272982,1.131489929,5.564520407,0,16569.41492,9.7153138
1,2,1247,85,0,1,0.720210017,0.859272982,1.131489929,7.129297549,1,27497.09887,10.22183578
0,1,291,86,1,1,0.720210017,0.859272982,1.131489929,5.676753802,0,13549.96167,9.514138998
0,1,821,87,0,1,0.720210017,0.859272982,1.131489929,6.711740395,1,24044.76874,10.08767274
0,2,36,88,0,1,0.720210017,0.859272982,1.131489929,3.610917913,0,2066.536563,7.633629327
4,2,717,89,0,1,0.720210017,0.859272982,1.131489929,6.576469569,1,38686.7199,10.56325167
3,1,649,90,0,1,0.720210017,0.859272982,1.131489929,6.476972363,1,37071.82966,10.52061265
0,1,727,91,0,1,0.720210017,0.859272982,1.131489929,6.590301048,1,16790.00198,9.728538868
0,1,260,92,0,1,0.720210017,0.859272982,1.131489929,5.564520407,1,11552.62671,9.354668111
0,1,883,93,0,1,0.720210017,0.859272982,1.131489929,6.784457063,1,37052.64578,10.52009504
0,1,158,94,0,1,0.720210017,0.859272982,1.131489929,5.068904202,0,5054.892862,8.528111937
0,1,312,95,0,1,0.720210017,0.859272982,1.131489929,5.746203191,1,6434.977025,8.76950355
1,1,748,96,0,1,0.720210017,0.859272982,1.131489929,6.618738984,1,18392.72128,9.819710283
1,1,1247,97,0,1,0.720210017,0.859272982,1.131489929,7.129297549,1,27764.08776,10.23149866
0,1,758,98,0,1,0.720210017,0.859272982,1.131489929,6.632001777,1,10620.63419,9.27055401
1,1,416,99,0,1,0.720210017,0.859272982,1.131489929,6.033086222,1,9358.388226,9.144028357
0,1,332,100,0,1,0.720210017,0.859272982,1.131489929,5.80814249,0,11774.46995,9.373688903
0,1,831,101,0,2,0.622093254,0.544679519,1.492690159,6.723832441,1,8568.704357,9.055871817
0,1,779,102,0,2,0.622093254,0.544679519,1.492690159,6.65929392,1,27006.3815,10.20382847
2,1,831,103,0,2,0.622093254,0.544679519,1.492690159,6.723832441,1,22168.33819,10.00642034
0,1,675,104,0,2,0.622093254,0.544679519,1.492690159,6.516193076,1,7443.549791,8.915103136
0,1,526,105,0,2,0.622093254,0.544679519,1.492690159,6.267200549,1,4209.658174,8.345136729
0,1,208,106,1,2,0.622093254,0.544679519,1.492690159,5.342334252,0,6290.259374,8.746757585
0,1,1039,107,0,2,0.622093254,0.544679519,1.492690159,6.946975992,1,17281.78063,9.757408083
2,1,640,108,0,2,0.622093254,0.544679519,1.492690159,6.463029457,1,6293.179758,8.747221748
1,1,691,110,0,2,0.622093254,0.544679519,1.492690159,6.539585956,1,7701.692725,8.949195418
0,1,468,111,0,2,0.622093254,0.544679519,1.492690159,6.150602768,0,5890.555706,8.68110562
2,1,42,112,0,2,0.622093254,0.544679519,1.492690159,3.761200116,1,4049.947275,8.306459142
0,2,831,113,0,2,0.622093254,0.544679519,1.492690159,6.723832441,1,19156.64239,9.860404796
1,1,299,114,0,2,0.622093254,0.544679519,1.492690159,5.703782475,1,9867.303855,9.196981929
1,1,468,115,0,2,0.622093254,0.544679519,1.492690159,6.150602768,1,14834.62806,9.604719461
0,1,239,116,1,2,0.622093254,0.544679519,1.492690159,5.480638923,0,4621.28824,8.438428785
1,1,655,117,0,2,0.622093254,0.544679519,1.492690159,6.486160789,1,5215.380491,8.559367326
3,1,831,118,0,2,0.622093254,0.544679519,1.492690159,6.723832441,1,7565.569323,8.931362881
0,1,416,119,0,2,0.622093254,0.544679519,1.492690159,6.033086222,1,10761.90644,9.283767997
0,2,623,120,0,2,0.622093254,0.544679519,1.492690159,6.436150368,1,9806.87445,9.190838893
